DOY,Temperature,PARi,PP,PET,eta,lai,gcut_height,grazing_animal_count,grazing_avg_animal_weight
1,-0.84125,2.22092475,0.119,0.602689848,0.301344924,0.864162428875,0,0,0
2,-0.047723404,0.979256681,0,0.374118163,0.1870590815,0.772996835125,0,0,0
3,-0.238979167,0.5285055,0,0.173686029,0.0868430145,0.97255603125,0,0,0
4,-0.174083333,1.064367,0.646,0.300225238,0.150112619,1.14691224375,0,0,0
5,-0.037104167,0.2468025,0.476,0.102412687,0.0512063435,1.0888079625,0,0,0
6,0.377875,0.4874055,0.595,0.151285007,0.0756425035,1.0993004625,0,0,0
7,1.3433125,0.59306025,0.833,0.162447054,0.081223527,1.1404184625,0,0,0
8,-0.064604167,0.79297725,0.102,0.223671563,0.1118357815,1.11207849375,0,0,0
9,-1.195875,1.4916,0.187,0.416778309,0.2083891545,1.13524355625,0,0,0
10,-1.400708333,2.57573025,0,0.709473344,0.354736672,1.14800949375,0,0,0
11,-3.147266667,1.9233552,0.051,0.445045769,0.2225228845,1.0620340875,0,0,0
12,4.034479167,0.59953275,2.856,0.314906501,0.1574532505,1.1732278125,0,0,0
13,8.014083333,0.3307425,7.735,0.166917738,0.083458869,1.3418893125,0,0,0
14,7.265416667,0.8163495,2.703,0.385841479,0.1929207395,1.428112883,0,0,0
15,3.0245625,0.3663405,3.043,0.248109641,0.1240548205,1.379633258,0,0,0
16,-2.0446875,0.97829775,7.021,0.277854154,0.138927077,1.50547097675,0,0,0
17,4.728875,1.5937275,8.381,0.498373835,0.2491869175,1.5074840705,0,0,0
18,2.806520833,1.887927,0.068,0.612756635,0.3063783175,1.47969685175,0,0,0
19,4.547375,2.812905,0,1.317113954,0.658556977,1.4842344455,0,0,0
20,10.413125,1.94882475,0,2.070709409,1.0353547045,1.2371109455,0,0,0
21,10.40951064,1.020531064,3.451,1.348662288,0.674331144,1.10229122675,0,0,0
22,7.067770833,0.4285125,16.575,0.563620192,0.281810096,1.2035866875,0,0,0
23,4.321791667,1.37304225,4.879,0.52470142,0.26235071,1.33049446875,0,0,0
24,0.66975,0.9944025,5.015,0.304815306,0.152407653,1.33854234375,0,0,0
25,1.084625,1.37142975,0,0.470757558,0.235378779,1.39844821875,0,0,0
26,-0.441416667,1.92422775,0.153,0.620074091,0.3100370455,1.39835390625,0,0,0
27,5.4030625,0.835917,1.36,0.36979569,0.184897845,1.4055320625,0,0,0
28,10.94104167,0.870267,4.743,0.388462327,0.1942311635,1.41996365625,0,0,0
29,10.55791667,1.83089475,2.652,1.014142135,0.5070710675,1.4814253125,0,0,0
30,9.3405,1.44377475,5.814,0.768312557,0.3841562785,1.34135784375,0,0,0
31,8.687770833,1.43742525,4.437,0.562176596,0.281088298,1.36810846875,0,0,0
32,9.928333333,1.4736495,11.73,0.571870764,0.285935382,1.41987759375,0,0,0
33,11.361875,1.37067525,2.244,0.691097668,0.345548834,1.41573984375,0,0,0
34,11.73022917,1.981653,3.961,1.224919765,0.6124598825,1.359700125,0,0,0
35,7.003729167,0.95136975,1.904,0.363577913,0.1817889565,1.395268875,0,0,0
36,8.176020833,1.36196025,0.969,0.489390677,0.2446953385,1.43416546875,0,0,0
37,7.299291667,0.710355,18.122,0.253859015,0.1269295075,1.697657625,0,0,0
38,5.053125,1.65777975,3.57,0.59304059,0.296520295,2.04672290625,0,0,0
39,1.895583333,1.85157825,0,0.62215505,0.311077525,2.21167828125,0,0,0
40,1.762666667,1.4405475,7.089,0.425726581,0.2128632905,2.39590003125,0,0,0
41,1.983791667,0.9223575,4.828,0.251074811,0.1255374055,2.76210909375,0,0,0
42,-1.842375,2.266203,0,0.669222463,0.3346112315,3.02167284375,0,0,0
43,-2.12075,1.2625425,0,0.494480766,0.247240383,3.14738146875,0,0,0
44,-3.880375,3.4698975,0,0.831174673,0.4155873365,3.50995115625,0,0,0
45,-0.4590625,3.50287725,0,1.132424191,0.5662120955,3.63593053125,0,0,0
46,7.975208333,2.97742275,0.085,1.470767275,0.7353836375,3.54300525,0,0,0
47,8.574666667,3.32535225,0.187,1.85144058,0.92572029,3.632227125,0,0,0
48,9.734458333,4.37022,0,1.830338668,0.915169334,3.7876365,0,0,0
49,11.4781875,2.9988675,1.649,2.269146909,1.1345734545,3.81729365625,0,0,0
50,10.86875,3.271872,0.136,1.535294353,0.7676471765,3.56181553125,0,0,0
51,12.98104167,4.1631,0,2.724603364,1.362301682,3.82310653125,0,0,0
52,13.239375,4.4777325,0,3.089498529,1.5447492645,3.96016246875,0,0,0
53,14.38666667,2.759475,0,2.30215288,1.15107644,4.0814428125,0,0,0
54,14.24666667,3.69119775,0,2.046487147,1.0232435735,4.3113800625,0,0,0
55,12.05745833,4.56862725,0,1.937044443,0.9685222215,4.27269290625,0,0,0
56,11.92939583,4.60747725,0,2.187849083,1.0939245415,4.06473984375,0,0,0
