"day","Mean biomass (kg DM/ha)","Mean green vegetative biomass (kg DM/ha)","Mean green reproductive biomass (kg DM/ha)","Mean dry vegetative biomass (kg DM/ha)","Mean dry reproductive biomass (kg DM/ha)","Harvested Biomass (kg DM/ha)","Ingested Biomass (kg DM/ha)","Mean GRO biomass (kg DM/ha)","Mean available biomass for cut (kg DM/ha)"
79,2179.4451510860454,1328.648640135714,0.0,594.30595702738,256.49055392295105,0.0,0.0,62.771183958972685,1429.4451510860451
80,2191.0519666729533,1345.59420615348,0.0,589.9147788867997,255.5429816326737,0.0,0.0,16.945566017765856,1441.0519666729533
81,2200.8667951671255,1356.9291310616043,0.0,590.0599842128119,253.87767989270938,0.0,0.0,24.391296120706738,1450.8667951671257
82,2208.0652809054045,1365.9089879214293,0.0,590.3796254332831,251.77666755069228,0.0,0.0,25.789765679277725,1458.0652809054047
83,2213.479346389202,1373.7106075525728,0.0,591.1113009481392,248.6574378884902,0.0,0.0,33.40154342936954,1463.4793463892022
84,2210.1641925817544,1372.4183948651698,0.0,592.2354072147359,245.5103905018488,0.0,0.0,25.51862104339305,1460.1641925817546
85,2216.586361678912,1380.7176123554505,0.0,593.9540196065834,241.9147297168782,0.0,0.0,40.075825452858716,1466.586361678912
86,2239.3070180973823,1404.471626075232,0.0,595.5960426603439,239.2393493618065,0.0,0.0,48.38621504106496,1489.3070180973823
87,2276.620027104768,1442.607781394603,0.0,597.6610386312319,236.35120707893276,0.0,0.0,65.54497227502998,1526.6200271047676
88,2325.1602930358727,1491.8817518272783,0.0,601.2322202434466,232.04632096514752,0.0,0.0,91.511809132414,1575.1602930358724
89,2407.245225123971,1573.9046775425602,0.0,605.942520506257,227.39802707515392,0.0,0.0,130.0192045795047,1657.245225123971
90,2524.747406358796,1690.1977751997556,0.0,612.3428594327456,222.20677172629493,0.0,0.0,173.07040897554148,1774.747406358796
91,2671.01306265509,1834.009366814525,0.0,619.53894855818,217.46474728238508,0.0,0.0,199.36427415338514,1921.0130626550902
92,2811.7049750436295,1971.1821336767396,0.0,627.3274027777925,213.19543858909717,0.0,0.0,190.6965399003923,2061.704975043629
93,2994.718639084317,2151.6639384072687,0.0,632.0710914773813,210.98360919966728,0.0,0.0,210.08230642992697,2244.718639084317
94,3180.956943882632,2334.758897314397,0.0,637.5620849544266,208.63596161380815,0.0,0.0,215.69046068984704,2430.956943882632
95,3357.279093945402,2507.028019508606,0.0,643.8169459239011,206.43412851289494,0.0,0.0,205.12219560810843,2607.279093945402
96,3522.6894831459344,2678.9992349035474,0.0,638.1626235963245,205.5276246460627,0.0,0.0,171.97121539494128,2772.6894831459344
97,3719.05123482694,2882.4020105058357,0.0,632.0981641836504,204.55106013745416,0.0,0.0,203.40277560228816,2969.05123482694
98,3879.0437023665445,3036.2903530299304,0.0,639.6937412929469,203.05960804366734,0.0,0.0,181.91045436789202,3129.0437023665445
99,3970.2394503885675,3110.314424481004,0.0,660.5490524106608,199.37597349690273,0.0,0.0,147.46447085684107,3220.2394503885675
100,3971.250406602827,3094.7945319350033,0.0,680.4854920182146,195.97038264960875,0.0,0.0,55.31751847155415,3221.250406602827
101,3962.872418199873,3075.805009053943,0.0,693.360123095433,193.70728605049678,0.0,0.0,28.662704872117732,3212.872418199873
102,4028.9529017215127,3135.169660925438,0.0,701.5538929113217,192.229347884753,0.0,0.0,90.65481622860091,3278.9529017215127
103,4094.875132136863,3210.022339343058,0.0,693.6995147625796,191.15327803122588,0.0,0.0,74.85267841761983,3344.875132136863
104,4157.682854705726,3265.6909710732875,0.0,702.2177952018723,189.7740884305656,0.0,0.0,86.54946533076381,3407.6828547057257
105,4205.347157437122,3245.1085257353443,61.55531104137825,710.1562199736851,188.52710068671425,0.0,0.0,69.58426465547106,3393.7918463957435
106,4257.454727049434,3225.455034016601,126.6722935361749,717.8144059437054,187.51299355295242,0.0,0.0,73.91265132447235,3380.782433513259
107,4288.976466535044,3190.935474029641,182.65737399618502,729.035105144963,186.34851336425484,0.0,0.0,64.21420895642127,3388.9764665350435
108,4333.374564911963,3148.916714973215,256.0948398255694,743.054455975008,185.30855413816968,0.0,0.0,84.62599703068246,3433.3745649119624
109,4373.49985182496,3101.6598969111633,328.49837878983885,758.6428321669695,184.69874395698974,0.0,0.0,84.26294587293197,3473.4998518249618
110,4390.609896862448,3044.8186414750476,378.1330343111979,783.0888585228823,184.56936255332016,0.0,0.0,59.48047754410229,3490.6098968624483
111,4423.055787497996,2976.2626739094876,448.89111433887905,813.0537348962982,184.8482643533304,0.0,0.0,84.63483407836178,3523.055787497995
112,4471.84289069592,2900.8508578960045,538.7075659104365,846.4658249026628,185.81864198681617,0.0,0.0,107.54835051839355,3571.8428906959202
113,4527.0107367096425,2819.624394635555,637.3688010311655,882.2966904684642,187.7208505744578,0.0,0.0,119.13919375781424,3627.010736709642
114,4591.130055564348,2722.2982382266973,753.0871332440164,924.6868661227497,191.0578179708848,0.0,0.0,141.3427020170204,3691.1300555643484
115,4655.595330147391,2621.890872023456,870.300293268781,967.6852566074626,195.7189082476913,0.0,0.0,145.06363751171222,3755.5953301473905
116,4726.255856843592,2529.311470527402,988.6354570555076,1007.1178461692019,201.19108309148032,0.0,0.0,147.14026800341222,3826.255856843592
117,4802.233023947455,2436.0761355485292,1112.0154244772555,1046.2729213920682,207.86854252960163,0.0,0.0,154.73024692111275,3902.233023947455
118,4792.283428500382,2345.9540549467506,1151.9317335245719,1079.6729059699785,214.72473405908127,0.0,0.0,60.03885943905974,3892.2834285003823
119,4896.942044117326,2275.1811668030778,1290.3130363162506,1110.0979564105862,221.34988458741105,0.0,0.0,170.82263652871544,3996.942044117326
120,4981.856947624395,2207.369494116498,1407.8903334477322,1137.9738025008937,228.62331755927025,0.0,0.0,148.06449262933168,4081.8569476243943
121,5037.879671121749,2150.3270405414055,1491.9618763161247,1160.2741305724637,235.31662369175544,0.0,0.0,108.63567850791019,4137.879671121749
122,5175.421486931435,2113.314659159875,1642.298191987605,1178.476717381373,241.3319184025827,0.0,0.0,182.01446375297195,4275.421486931436
123,5272.244296570717,2055.8440762647892,1764.4765524688116,1201.6972345774345,250.22643325968127,0.0,0.0,155.4629127614224,4372.244296570717
124,5290.869059903734,1975.228162069093,1824.612036343285,1229.0235995846372,262.0052619067185,0.0,0.0,90.65190328074996,4390.869059903734
125,5409.364044863025,1918.1272463693297,1967.0873387009958,1251.6444051053418,272.5050546873573,0.0,0.0,181.36211700276482,4509.364044863025
126,5443.796737498113,1847.8866001531565,2036.5645343931008,1274.6590604591604,284.6865424926958,0.0,0.0,101.79229251371449,4543.7967374981135
127,5532.687560944279,1778.8119803511597,2157.1301762875432,1298.4136442265287,298.331760079047,0.0,0.0,162.4216036241267,4632.687560944279
128,5568.562402661475,1667.8310206474732,2249.4682157101433,1331.4791067442006,319.7840595596567,0.0,0.0,145.30769761413754,4668.562402661473
129,5546.968942663117,1527.8404881988415,2303.769955722096,1368.2621648438624,347.0963338983161,0.0,0.0,114.00359009254092,4646.968942663116
130,5607.480551935967,1448.9301209410776,2404.655711663853,1388.8945777856259,365.00014154541117,0.0,0.0,149.3043006470454,4707.480551935967
131,5658.738170552605,1394.5585752814998,2483.4260942698857,1402.2235831171104,378.52991788411,0.0,0.0,115.76867763734512,4758.738170552605
132,5718.633159001868,1338.1983306125258,2571.580247977015,1415.2982017714019,393.5563786409256,0.0,0.0,129.38202026290583,4818.633159001869
133,5795.380848038703,1284.6017058371083,2674.2461113490226,1427.1840545429507,409.3489763096221,0.0,0.0,147.3531386562311,4895.380848038703
134,5855.304681847723,1231.8221059060065,2760.4272600234594,1437.5084945484896,425.5468213697675,0.0,0.0,129.52386198922684,4955.304681847723
135,5856.818114774038,1171.0115091825066,2795.7045574022,1446.9650975878556,443.13695060147546,0.0,0.0,74.83979528799699,4956.818114774037
136,5899.790671863365,1110.5060266104394,2870.7523801595307,1455.8106160166408,462.72164907675443,0.0,0.0,124.21345882891053,4999.790671863365
137,5963.671330921536,1059.0688173770495,2960.8151087683154,1462.3640200924629,481.42338468370815,0.0,0.0,139.6821817685363,5063.671330921536
138,6007.082409075996,1014.8086008478846,3027.3784321051116,1466.7039308199269,498.19144530307324,0.0,0.0,109.3312898569784,5107.082409075996
139,6062.502259190768,970.5850305963769,3105.4651921777427,1470.088779280023,516.3632571366263,0.0,0.0,125.40800723660274,5162.502259190768
140,6119.488250585918,921.7871000997094,3187.732298185566,1472.47725961288,537.4915926877627,0.0,0.0,136.37716626420237,5219.488250585918
141,6119.557007273564,867.4617204671126,3215.9406360852095,1473.2620180214049,562.8926326998361,0.0,0.0,77.36565396148762,5219.557007273564
142,6151.729524064855,829.924025185397,3266.0967287822214,1472.5886145057755,583.1201555914599,0.0,0.0,93.2854997486565,5251.729524064853
143,6197.030531952414,789.3231178971994,3329.8405671733017,1470.658028331086,607.2088185508276,0.0,0.0,115.69289193108796,5297.030531952414
144,6222.519470898528,747.9468353989915,3374.3327976986457,1467.3890048435148,632.8508329573757,0.0,0.0,96.67680980102818,5322.519470898528
145,6263.623694349654,710.8323211988766,3430.3996192507348,1462.8803284183196,659.5114254817233,0.0,0.0,111.56517730824253,5363.623694349654
146,6266.681912229119,669.0565387042938,3451.7850172205617,1456.836217137014,689.0041391672504,0.0,0.0,77.46661702746762,5366.68191222912
147,6264.162998971284,625.0344039984045,3487.1684992674113,1427.2836184926603,724.6764772128082,0.0,0.0,104.48384109736493,5364.162998971284
148,6242.47012289356,578.9713204299455,3503.8787769219916,1395.0707794016628,764.54924613996,0.0,0.0,91.05256144664801,5342.47012289356
149,6199.712849666272,528.0305524613868,3501.932760871149,1357.6202892790702,812.1292470546648,0.0,0.0,84.0924625344171,5299.712849666272
150,934.9669115703225,449.1949578305221,146.85412963650194,262.61401375,76.30381035329845,5299.712849666272,0.0,65.4330797055221,38.1127819338206
151,970.8503387444647,476.0907714754036,143.47657462244726,273.55094614354164,77.73204650307216,5299.712849666272,0.0,67.04428924598758,77.37376412201738
152,1005.7467385167267,496.8373213959266,139.26571630561338,290.10426439519085,79.53943641999598,5299.712849666272,0.0,66.65021941538633,116.48102221111344
153,1037.560013965214,516.566390195704,134.94065324137344,304.63530762810063,81.41766290003606,5299.712849666272,0.0,63.17876792375351,152.6193607238407
154,1065.8313441934338,533.4099855977536,130.1501167894078,318.7612657067366,83.50997609953583,5299.712849666272,0.0,62.08979745629355,185.681227404026
155,1095.094411375632,554.0937342861637,125.9852771171968,329.68513489610365,85.33026507616798,5299.712849666272,0.0,58.12279112096524,219.1091342584353
156,1125.643153475628,578.2297196221778,122.53060044529404,338.0478928325191,86.83494057563722,5299.712849666272,0.0,54.28915805902699,253.11255303033408
157,1150.8683964706931,597.5774504150783,119.1412939801847,345.84638086420694,88.30327121122342,5299.712849666272,0.0,48.476668483540344,281.7271024905086
158,1194.5071500025115,634.2023850243633,114.88277069419016,355.2870692337136,90.13492505024435,5299.712849666272,0.0,72.92358513397396,329.62437930832124
159,1236.131040734828,668.8818900833603,110.48207754453112,364.76126922488817,92.00580388204841,5299.712849666272,0.0,72.14506360327107,375.64896319029685
160,1278.9853190268022,704.6532142852634,105.9115595291728,374.50070599661655,93.91983921574965,5299.712849666272,0.0,75.02952724365555,423.07375949762957
161,1320.8613994757286,738.9762056517916,101.05852862187272,384.9126204943279,95.91404470773647,5299.712849666272,0.0,76.77345103222311,469.80287085385595
162,1358.6203717176422,768.5426219762285,95.92377726477514,396.1800314120631,97.97394106457556,5299.712849666272,0.0,75.74025377791477,512.6965944528671
163,1392.3569625994407,793.5244106318773,90.65845064140598,408.1507757684022,100.0233255577552,5299.712849666272,0.0,74.08665219046274,551.6985119580347
164,1425.9950021591105,818.0670699088441,85.46191560658157,420.4932904260222,101.9727262176627,5299.712849666272,0.0,75.14406068094318,590.5330865525291
165,1455.5179075481067,839.0634725574764,80.23691172773374,433.5191837757327,102.69833948716375,5299.712849666272,0.0,74.36060939034527,625.2809958203728
166,1481.6352980141492,856.2118093800008,75.10387836282877,447.0093797464137,103.31023052490588,5299.712849666272,0.0,72.41297133666255,656.5314196513202
167,1493.883453076261,858.2950589222895,69.6713091059233,462.08188941530034,103.83519563274797,5299.712849666272,0.0,63.944855345637535,674.2121439703378
168,1519.4533127560312,873.8695787349354,64.78081865167269,476.6996182555169,104.1032971139062,5299.712849666272,0.0,75.97657969052462,704.6724941043585
169,1527.2305326199225,871.6442830299104,60.34972967922715,491.14874944529925,104.08777046548582,5299.712849666272,0.0,58.08642268679801,716.8808029406955
170,1530.0141667775601,865.0240820100931,56.532646995597084,504.6077443730226,103.84969339884715,5299.712849666272,0.0,50.327958786884935,723.481519781963
171,1543.9207294623018,871.3758459699185,53.667466447712435,515.3672277968112,103.51018924785977,5299.712849666272,0.0,52.700310354250114,740.2532630145895
172,1577.6397304238365,897.279008055474,50.84405458060149,526.4705522269259,103.04611556083528,5299.712849666272,0.0,74.5344225187679,776.7956758432351
173,1627.2256487057855,939.7384469039679,48.40846547902855,536.5522649574177,102.5264713653713,5299.712849666272,0.0,87.28405414029226,828.8171832267569
174,1672.3734158184068,977.2433381660571,45.954368065794185,547.2847820635656,101.89092752299011,5299.712849666272,0.0,85.61558913072167,876.4190477526128
175,1692.42206752489,990.1772305763558,43.84356905507164,557.1617536756099,101.23951421785273,5299.712849666272,0.0,57.32679870444133,898.5784984698184
176,1737.9896311087632,1027.7733947958816,41.646896636928346,568.1086639036295,100.46067577232358,5299.712849666272,0.0,86.85789988618129,946.3427344718347
177,1779.0609594624252,1059.5764616024253,39.300120040747835,580.676728915908,99.50764890334396,5299.712849666272,0.0,88.31936198595744,989.7608394216772
178,1792.593475619347,1063.7015297624214,37.147112089465516,593.2404795833944,98.50435418406553,5299.712849666272,0.0,60.41092899219203,1005.4463635298813
